model: Logistic Regression with Quadratic = False
+------+-----+--------+--------+--------+
| PCA  |  pi | lambda | z-norm | minDCF |
|  8   | 0.5 |   10   |  True  | 0.555  |
|  8   | 0.5 |  100   |  True  | 0.556  |
|  7   | 0.5 | 1e-05  |  True  | 0.474  |
|  7   | 0.5 | 0.0001 |  True  | 0.474  |
|  7   | 0.5 | 0.001  |  True  | 0.474  |
|  7   | 0.5 |  0.01  |  True  | 0.475  |
|  7   | 0.5 |  0.1   |  True  | 0.509  |
|  7   | 0.5 |   1    |  True  | 0.541  |
|  7   | 0.5 |   10   |  True  |  0.56  |
|  7   | 0.5 |  100   |  True  | 0.596  |
| None | 0.9 | 1e-05  | False  | 0.192  |
| None | 0.9 | 0.0001 | False  | 0.192  |
| None | 0.9 | 0.001  | False  | 0.192  |
| None | 0.9 |  0.01  | False  | 0.192  |
| None | 0.9 |  0.1   | False  | 0.194  |
| None | 0.9 |   1    | False  | 0.196  |
| None | 0.9 |   10   | False  | 0.198  |
| None | 0.9 |  100   | False  | 0.209  |
|  9   | 0.9 | 1e-05  | False  | 0.191  |
|  9   | 0.9 | 0.0001 | False  | 0.191  |
|  9   | 0.9 | 0.001  | False  | 0.191  |
|  9   | 0.9 |  0.01  | False  | 0.193  |
|  9   | 0.9 |  0.1   | False  |  0.2   |
|  9   | 0.9 |   1    | False  | 0.203  |
|  9   | 0.9 |   10   | False  | 0.203  |
|  9   | 0.9 |  100   | False  | 0.202  |
|  8   | 0.9 | 1e-05  | False  | 0.194  |
|  8   | 0.9 | 0.0001 | False  | 0.194  |
|  8   | 0.9 | 0.001  | False  | 0.193  |
|  8   | 0.9 |  0.01  | False  | 0.196  |
|  8   | 0.9 |  0.1   | False  | 0.203  |
|  8   | 0.9 |   1    | False  | 0.203  |
|  8   | 0.9 |   10   | False  | 0.203  |
|  8   | 0.9 |  100   | False  | 0.201  |
|  7   | 0.9 | 1e-05  | False  | 0.193  |
|  7   | 0.9 | 0.0001 | False  | 0.193  |
|  7   | 0.9 | 0.001  | False  | 0.194  |
|  7   | 0.9 |  0.01  | False  | 0.195  |
|  7   | 0.9 |  0.1   | False  | 0.202  |
|  7   | 0.9 |   1    | False  | 0.203  |
|  7   | 0.9 |   10   | False  | 0.201  |
|  7   | 0.9 |  100   | False  | 0.202  |
| None | 0.9 | 1e-05  |  True  | 0.192  |
| None | 0.9 | 0.0001 |  True  | 0.192  |
| None | 0.9 | 0.001  |  True  | 0.192  |
| None | 0.9 |  0.01  |  True  | 0.193  |
| None | 0.9 |  0.1   |  True  | 0.197  |
| None | 0.9 |   1    |  True  |  0.2   |
| None | 0.9 |   10   |  True  | 0.201  |
| None | 0.9 |  100   |  True  | 0.203  |
|  9   | 0.9 | 1e-05  |  True  | 0.191  |
|  9   | 0.9 | 0.0001 |  True  | 0.191  |
|  9   | 0.9 | 0.001  |  True  | 0.191  |
|  9   | 0.9 |  0.01  |  True  | 0.193  |
|  9   | 0.9 |  0.1   |  True  |  0.2   |
|  9   | 0.9 |   1    |  True  | 0.203  |
|  9   | 0.9 |   10   |  True  | 0.203  |
|  9   | 0.9 |  100   |  True  | 0.202  |
|  8   | 0.9 | 1e-05  |  True  | 0.194  |
|  8   | 0.9 | 0.0001 |  True  | 0.194  |
|  8   | 0.9 | 0.001  |  True  | 0.193  |
|  8   | 0.9 |  0.01  |  True  | 0.196  |
|  8   | 0.9 |  0.1   |  True  | 0.203  |
|  8   | 0.9 |   1    |  True  | 0.203  |
|  8   | 0.9 |   10   |  True  | 0.203  |
|  8   | 0.9 |  100   |  True  | 0.205  |
|  7   | 0.9 | 1e-05  |  True  | 0.193  |
|  7   | 0.9 | 0.0001 |  True  | 0.193  |
|  7   | 0.9 | 0.001  |  True  | 0.194  |
|  7   | 0.9 |  0.01  |  True  | 0.195  |
|  7   | 0.9 |  0.1   |  True  | 0.202  |
|  7   | 0.9 |   1    |  True  | 0.203  |
|  7   | 0.9 |   10   |  True  | 0.201  |
|  7   | 0.9 |  100   |  True  | 0.204  |
+------+-----+--------+--------+--------+

model: Logistic Regression with Quadratic = True
+------+-----+--------+--------+--------+
| PCA  |  pi | lambda | z-norm | minDCF |
+------+-----+--------+--------+--------+
| None | 0.1 | 1e-05  | False  | 0.515  |
| None | 0.1 | 0.0001 | False  | 0.527  |
| None | 0.1 | 0.001  | False  | 0.529  |
| None | 0.1 |  0.01  | False  | 0.535  |
| None | 0.1 |  0.1   | False  | 0.539  |
| None | 0.1 |   1    | False  | 0.603  |
| None | 0.1 |   10   | False  | 0.626  |
| None | 0.1 |  100   | False  | 0.645  |
|  9   | 0.1 | 1e-05  | False  | 0.589  |
|  9   | 0.1 | 0.0001 | False  | 0.574  |
|  9   | 0.1 | 0.001  | False  | 0.578  |
|  9   | 0.1 |  0.01  | False  |  0.56  |
|  9   | 0.1 |  0.1   | False  | 0.579  |
|  9   | 0.1 |   1    | False  | 0.601  |
|  9   | 0.1 |   10   | False  | 0.645  |
|  9   | 0.1 |  100   | False  |  0.66  |
|  8   | 0.1 | 1e-05  | False  | 0.598  |
|  8   | 0.1 | 0.0001 | False  | 0.576  |
|  8   | 0.1 | 0.001  | False  | 0.588  |
|  8   | 0.1 |  0.01  | False  | 0.559  |
|  8   | 0.1 |  0.1   | False  | 0.588  |
|  8   | 0.1 |   1    | False  | 0.615  |
|  8   | 0.1 |   10   | False  | 0.665  |
|  8   | 0.1 |  100   | False  | 0.673  |
|  7   | 0.1 | 1e-05  | False  | 0.637  |
|  7   | 0.1 | 0.0001 | False  |  0.63  |
|  7   | 0.1 | 0.001  | False  | 0.609  |
|  7   | 0.1 |  0.01  | False  | 0.567  |
|  7   | 0.1 |  0.1   | False  |  0.59  |
|  7   | 0.1 |   1    | False  | 0.652  |
|  7   | 0.1 |   10   | False  | 0.682  |
|  7   | 0.1 |  100   | False  | 0.687  |
| None | 0.1 | 1e-05  |  True  | 0.463  |
| None | 0.1 | 0.0001 |  True  | 0.474  |
| None | 0.1 | 0.001  |  True  | 0.468  |
